timestamp,side,mean_joint_error_rad,ee_pos_error_m,j1_orig,j2_orig,j3_orig,j4_orig,j5_orig,jg_orig,j1_sol,j2_sol,j3_sol,j4_sol,j5_sol,jg_sol
1772536790763226856,left,0.321218,0.032994,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0389,-1.4949,0.8081,0.0135,-0.0075,-0.1253
1772536790765021152,right,0.114524,0.001816,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0397,-1.1954,1.4683,-0.0700,-0.0757,-0.3587
1772536790766723646,left,0.327124,0.033364,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0407,-1.4780,0.7905,-0.0039,-0.0099,-0.1268
1772536790768529161,right,0.119607,0.003554,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0411,-1.1692,1.5340,-0.0082,-0.0775,-0.3622
1772536790783062629,left,0.321949,0.033083,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0389,-1.4964,0.8074,0.0123,-0.0078,-0.1284
1772536790784844047,right,0.118439,0.001955,-0.0376,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0433,-1.1917,1.4681,-0.0598,-0.0699,-0.3795
1772536790786560406,left,0.327773,0.033445,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0406,-1.4796,0.7899,-0.0050,-0.0101,-0.1299
1772536790788368314,right,0.114248,0.001811,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2739,-0.0374,-1.1965,1.5433,-0.0498,-0.0771,-0.3742
1772536790803371483,left,0.323048,0.033248,-0.0376,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0373,-1.4991,0.8062,0.0092,-0.0064,-0.1345
1772536790805052647,right,0.116366,0.001757,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0385,-1.1957,1.4668,-0.0676,-0.0782,-0.3766
1772536790806642844,left,0.328666,0.033631,-0.0391,-1.1193,1.4891,-0.3452,-0.0115,0.4358,-0.0393,-1.4817,0.7888,-0.0081,-0.0110,-0.1357
1772536790808393333,right,0.120277,0.002582,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0384,-1.1810,1.5293,-0.0179,-0.0780,-0.3816
1772536790823411422,left,0.324100,0.033368,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0397,-1.5012,0.8062,0.0076,-0.0060,-0.1396
1772536790825312290,right,0.122495,0.002542,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0476,-1.1809,1.4698,-0.0619,-0.0719,-0.3886
1772536790826983059,left,0.330189,0.033698,-0.0391,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0412,-1.4847,0.7891,-0.0093,-0.0090,-0.1410
1772536790828978418,right,0.117996,0.001301,-0.0376,-1.1799,1.5604,-0.0506,-0.0760,0.2723,-0.0362,-1.1798,1.5432,-0.0271,-0.0735,-0.3909
1772536790844492393,left,0.324684,0.033480,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0393,-1.5032,0.8062,0.0072,-0.0071,-0.1426
1772536790846216870,right,0.122010,0.002910,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0392,-1.1761,1.4738,-0.0547,-0.0806,-0.3949
1772536790848162889,left,0.330884,0.033765,-0.0376,-1.1208,1.4891,-0.3452,-0.0115,0.4358,-0.0399,-1.4858,0.7882,-0.0105,-0.0090,-0.1442
1772536790850029436,right,0.116806,0.001893,-0.0391,-1.1799,1.5604,-0.0506,-0.0760,0.2739,-0.0400,-1.1968,1.5455,-0.0518,-0.0739,-0.3910
1772536790863704980,left,0.325615,0.033599,-0.0391,-1.1393,1.4853,-0.3122,-0.0069,0.4427,-0.0394,-1.5049,0.8040,0.0042,-0.0072,-0.1471
1772536790865286493,right,0.119223,0.001653,-0.0391,-1.2037,1.4392,-0.0483,-0.0775,0.2654,-0.0411,-1.1918,1.4666,-0.0631,-0.0756,-0.3920
